is_anomaly,anomaly_type,confidence_score,node_id,gps_coordinates,reading
True,contamination,1.0,NODE_08,"(41.906402, -87.608296)","{'timestamp': Timestamp('2026-01-01 19:00:00'), 'node_id': 'NODE_08', 'gps_lat': 41.906402, 'gps_lon': -87.608296, 'pH': 7.035455515887571, 'turbidity_NTU': 4.252220379574883, 'dissolved_oxygen_mg_L': 4.842399528562554, 'flow_rate_Lps': 26.479671038347686, 'anomaly_type': 'contamination'}"
True,contamination,0.999,NODE_04,"(41.843962, -87.591601)","{'timestamp': Timestamp('2026-01-02 06:45:00'), 'node_id': 'NODE_04', 'gps_lat': 41.843962, 'gps_lon': -87.591601, 'pH': 6.481890279167193, 'turbidity_NTU': 5.002360532741289, 'dissolved_oxygen_mg_L': 4.070306134869818, 'flow_rate_Lps': 30.963142754492644, 'anomaly_type': 'contamination'}"
True,contamination,1.0,NODE_05,"(41.910478, -87.607628)","{'timestamp': Timestamp('2026-01-01 18:00:00'), 'node_id': 'NODE_05', 'gps_lat': 41.910478, 'gps_lon': -87.607628, 'pH': 7.035455515887571, 'turbidity_NTU': 4.306218230824751, 'dissolved_oxygen_mg_L': 5.928098095800611, 'flow_rate_Lps': 28.548566896257654, 'anomaly_type': 'contamination'}"
False,none,1.0,NODE_07,"(41.838375, -87.660896)","{'timestamp': Timestamp('2026-01-04 02:00:00'), 'node_id': 'NODE_07', 'gps_lat': 41.838375, 'gps_lon': -87.660896, 'pH': 6.789820821454213, 'turbidity_NTU': 4.5120682052334455, 'dissolved_oxygen_mg_L': 6.671454258169287, 'flow_rate_Lps': 23.442761625685428, 'anomaly_type': 'none'}"
True,contamination,1.0,NODE_07,"(41.838375, -87.660896)","{'timestamp': Timestamp('2026-01-01 12:30:00'), 'node_id': 'NODE_07', 'gps_lat': 41.838375, 'gps_lon': -87.660896, 'pH': 5.7753308887641, 'turbidity_NTU': 5.164259921170333, 'dissolved_oxygen_mg_L': 3.9236223758231024, 'flow_rate_Lps': 24.936552147712227, 'anomaly_type': 'contamination'}"
True,contamination,1.0,NODE_01,"(41.857097, -87.623471)","{'timestamp': Timestamp('2026-01-03 02:45:00'), 'node_id': 'NODE_01', 'gps_lat': 41.857097, 'gps_lon': -87.623471, 'pH': 5.655117422470192, 'turbidity_NTU': 4.401152242426085, 'dissolved_oxygen_mg_L': 5.290737206599718, 'flow_rate_Lps': 22.547346166002907, 'anomaly_type': 'contamination'}"
True,contamination,0.995,NODE_10,"(41.886427, -87.633103)","{'timestamp': Timestamp('2026-01-01 11:45:00'), 'node_id': 'NODE_10', 'gps_lat': 41.886427, 'gps_lon': -87.633103, 'pH': 6.897322141100197, 'turbidity_NTU': 5.022783630004574, 'dissolved_oxygen_mg_L': 3.7627774829667917, 'flow_rate_Lps': 36.231397189681395, 'anomaly_type': 'contamination'}"
True,contamination,1.0,NODE_02,"(41.840095, -87.588121)","{'timestamp': Timestamp('2026-01-03 05:30:00'), 'node_id': 'NODE_02', 'gps_lat': 41.840095, 'gps_lon': -87.588121, 'pH': 6.961891686003921, 'turbidity_NTU': 3.4467284598639263, 'dissolved_oxygen_mg_L': 5.359567147172541, 'flow_rate_Lps': 30.607593594492958, 'anomaly_type': 'contamination'}"
False,none,1.0,NODE_01,"(41.857097, -87.623471)","{'timestamp': Timestamp('2026-01-02 00:45:00'), 'node_id': 'NODE_01', 'gps_lat': 41.857097, 'gps_lon': -87.623471, 'pH': 5.433466238973562, 'turbidity_NTU': 2.871196030589475, 'dissolved_oxygen_mg_L': 6.043118855333333, 'flow_rate_Lps': 24.509480542249968, 'anomaly_type': 'none'}"
True,contamination,1.0,NODE_04,"(41.843962, -87.591601)","{'timestamp': Timestamp('2026-01-02 08:15:00'), 'node_id': 'NODE_04', 'gps_lat': 41.843962, 'gps_lon': -87.591601, 'pH': 6.158424006182359, 'turbidity_NTU': 5.080497554589536, 'dissolved_oxygen_mg_L': 5.189135719492267, 'flow_rate_Lps': 30.672013827640633, 'anomaly_type': 'contamination'}"
False,none,1.0,NODE_01,"(41.857097, -87.623471)","{'timestamp': Timestamp('2026-01-02 01:30:00'), 'node_id': 'NODE_01', 'gps_lat': 41.857097, 'gps_lon': -87.623471, 'pH': 8.41608681704654, 'turbidity_NTU': 4.9300838102540485, 'dissolved_oxygen_mg_L': 7.025023721455362, 'flow_rate_Lps': 24.321317092576674, 'anomaly_type': 'none'}"
False,none,0.998,NODE_04,"(41.843962, -87.591601)","{'timestamp': Timestamp('2026-01-03 23:00:00'), 'node_id': 'NODE_04', 'gps_lat': 41.843962, 'gps_lon': -87.591601, 'pH': 6.960603501688507, 'turbidity_NTU': 4.978820187753845, 'dissolved_oxygen_mg_L': 6.527351447491146, 'flow_rate_Lps': 31.30161696713475, 'anomaly_type': 'none'}"
True,contamination,1.0,NODE_10,"(41.886427, -87.633103)","{'timestamp': Timestamp('2026-01-01 06:30:00'), 'node_id': 'NODE_10', 'gps_lat': 41.886427, 'gps_lon': -87.633103, 'pH': 7.035455515887571, 'turbidity_NTU': 4.825792283459244, 'dissolved_oxygen_mg_L': 3.9207932189436976, 'flow_rate_Lps': 37.628614140347686, 'anomaly_type': 'contamination'}"
True,contamination,0.995,NODE_01,"(41.857097, -87.623471)","{'timestamp': Timestamp('2026-01-03 08:00:00'), 'node_id': 'NODE_01', 'gps_lat': 41.857097, 'gps_lon': -87.623471, 'pH': 4.563370643484322, 'turbidity_NTU': 4.825179225576871, 'dissolved_oxygen_mg_L': 5.864540979115404, 'flow_rate_Lps': 21.40622741854983, 'anomaly_type': 'contamination'}"
False,none,1.0,NODE_01,"(41.857097, -87.623471)","{'timestamp': Timestamp('2026-01-02 00:30:00'), 'node_id': 'NODE_01', 'gps_lat': 41.857097, 'gps_lon': -87.623471, 'pH': 4.78886106249815, 'turbidity_NTU': 2.8968521864425583, 'dissolved_oxygen_mg_L': 8.104090680931325, 'flow_rate_Lps': 23.078946417374, 'anomaly_type': 'none'}"
True,contamination,1.0,NODE_10,"(41.886427, -87.633103)","{'timestamp': Timestamp('2026-01-01 10:45:00'), 'node_id': 'NODE_10', 'gps_lat': 41.886427, 'gps_lon': -87.633103, 'pH': 6.681553567542745, 'turbidity_NTU': 2.9567480753018724, 'dissolved_oxygen_mg_L': 4.05578931219533, 'flow_rate_Lps': 35.83546136299467, 'anomaly_type': 'contamination'}"
False,none,0.99,NODE_06,"(41.855255, -87.639555)","{'timestamp': Timestamp('2026-01-04 05:15:00'), 'node_id': 'NODE_06', 'gps_lat': 41.855255, 'gps_lon': -87.639555, 'pH': 6.941278904431053, 'turbidity_NTU': 4.178959771570964, 'dissolved_oxygen_mg_L': 6.046342283199234, 'flow_rate_Lps': 20.353025848978003, 'anomaly_type': 'none'}"
True,contamination,1.0,NODE_03,"(41.900166, -87.639655)","{'timestamp': Timestamp('2026-01-02 23:30:00'), 'node_id': 'NODE_03', 'gps_lat': 41.900166, 'gps_lon': -87.639655, 'pH': 7.035455515887571, 'turbidity_NTU': 3.215740139131738, 'dissolved_oxygen_mg_L': 5.846233185449133, 'flow_rate_Lps': 23.91677744343253, 'anomaly_type': 'contamination'}"
False,none,0.935,NODE_04,"(41.843962, -87.591601)","{'timestamp': Timestamp('2026-01-02 07:30:00'), 'node_id': 'NODE_04', 'gps_lat': 41.843962, 'gps_lon': -87.591601, 'pH': 6.848000112594903, 'turbidity_NTU': 3.815227608716361, 'dissolved_oxygen_mg_L': 6.008735153501366, 'flow_rate_Lps': 30.226899706770578, 'anomaly_type': 'none'}"
